name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 4062,NGC4062,galaxy,Galaxy,12:04:03,+31:53:44,11.2,4.14,
NGC 4064,NGC4064,galaxy,Galaxy,12:04:11,+18:26:36,11.3,3.22,
NGC 4073,NGC4073,galaxy,Galaxy,12:04:27,+01:53:45,11.5,2.09,
NGC 4088,NGC4088,galaxy,Galaxy,12:05:34,+50:32:20,10.6,7.01,
NGC 4096,NGC4096,galaxy,Galaxy,12:06:01,+47:28:42,10.6,5.65,
NGC 4100,NGC4100,galaxy,Galaxy,12:06:08,+49:34:57,11.1,4.56,
NGC 4102,NGC4102,galaxy,Galaxy,12:06:22,+52:42:39,11.9,2.94,
NGC 4105,NGC4105,galaxy,Galaxy,12:06:40,-29:45:36,10.6,4.33,
NGC 4106,NGC4106,galaxy,Galaxy,12:06:44,-29:46:05,11.3,4.14,
NGC 4111,NGC4111,galaxy,Galaxy,12:07:03,+43:03:56,10.8,1.78,
NGC 4125,NGC4125,galaxy,Galaxy,12:08:06,+65:10:26,9.7,5.87,
NGC 4119,NGC4119,galaxy,Galaxy,12:08:09,+10:22:44,11.5,1.58,
NGC 4123,NGC4123,galaxy,Galaxy,12:08:11,+02:52:41,11.4,3.18,
NGC 4128,NGC4128,galaxy,Galaxy,12:08:32,+68:46:03,12.0,2.21,
NGC 4136,NGC4136,galaxy,Galaxy,12:09:17,+29:55:39,11.9,2.34,
NGC 4138,NGC4138,galaxy,Galaxy,12:09:29,+43:41:07,11.8,2.92,
NGC 4144,NGC4144,galaxy,Galaxy,12:09:58,+46:27:25,11.6,5.24,
NGC 4145,NGC4145,galaxy,Galaxy,12:10:01,+39:53:01,11.2,4.62,
NGC 4147,NGC4147,cluster,Globular Cluster,12:10:06,+18:32:31,10.7,2.40,
NGC 4151,NGC4151,galaxy,Galaxy,12:10:32,+39:24:20,11.5,2.88,
NGC 4150,NGC4150,galaxy,Galaxy,12:10:33,+30:24:05,11.7,1.99,
NGC 4157,NGC4157,galaxy,Galaxy,12:11:04,+50:29:04,11.3,6.22,
NGC 4162,NGC4162,galaxy,Galaxy,12:11:52,+24:07:25,11.7,2.28,
NGC 4168,NGC4168,galaxy,Galaxy,12:12:17,+13:12:18,11.4,2.92,
NGC 4178,NGC4178,galaxy,Galaxy,12:12:46,+10:51:57,11.4,4.66,
NGC 4179,NGC4179,galaxy,Galaxy,12:12:52,+01:17:58,10.9,4.48,
NGC 4189,NGC4189,galaxy,Galaxy,12:13:47,+13:25:29,11.8,2.20,
M 98,NGC4192,galaxy,Galaxy,12:13:48,+14:54:01,10.8,11.04,
NGC 4203,NGC4203,galaxy,Galaxy,12:15:05,+33:11:50,11.6,3.42,
NGC 4208,NGC4208,galaxy,Galaxy,12:15:39,+13:54:05,11.1,2.80,
NGC 4214,NGC4214,galaxy,Galaxy,12:15:39,+36:19:36,9.8,6.79,
NGC 4217,NGC4217,galaxy,Galaxy,12:15:50,+47:05:30,11.2,5.43,
NGC 4215,NGC4215,galaxy,Galaxy,12:15:54,+06:24:04,12.0,1.69,
NGC 4216,NGC4216,galaxy,Galaxy,12:15:54,+13:08:57,9.9,7.82,
NGC 4220,NGC4220,galaxy,Galaxy,12:16:11,+47:52:59,11.3,3.30,
NGC 4224,NGC4224,galaxy,Galaxy,12:16:33,+07:27:43,11.8,2.90,
NGC 4236,NGC4236,galaxy,Galaxy,12:16:42,+69:27:45,9.8,23.50,
NGC 4233,NGC4233,galaxy,Galaxy,12:17:07,+07:37:27,11.9,2.34,
NGC 4235,NGC4235,galaxy,Galaxy,12:17:09,+07:11:29,12.0,4.41,
