name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 7814,NGC7814,galaxy,Galaxy,00:03:14,+16:08:43,10.6,4.37,
NGC 0016,NGC0016,galaxy,Galaxy,00:09:04,+27:43:45,12.0,1.74,
NGC 0023,NGC0023,galaxy,Galaxy,00:09:53,+25:55:25,12.0,1.55,
NGC 0024,NGC0024,galaxy,Galaxy,00:09:56,-24:57:47,11.5,6.18,
NGC 0040,NGC0040,nebula,Planetary Nebula,00:13:01,+72:31:19,11.9,0.80,Bow-Tie nebula
NGC 0045,NGC0045,galaxy,Galaxy,00:14:03,-23:10:55,10.4,6.18,
NGC 0057,NGC0057,galaxy,Galaxy,00:15:30,+17:19:42,11.7,2.11,
IC 0010,IC0010,galaxy,Galaxy,00:20:17,+59:18:13,10.3,6.76,
NGC 0103,NGC0103,cluster,Open Cluster,00:25:16,+61:19:24,9.8,2.70,
NGC 0128,NGC0128,galaxy,Galaxy,00:29:15,+02:51:50,11.6,3.16,
NGC 0129,NGC0129,cluster,Open Cluster,00:29:58,+60:12:40,6.5,5.40,
NGC 0134,NGC0134,galaxy,Galaxy,00:30:21,-33:14:38,10.3,8.38,
NGC 0133,NGC0133,cluster,Open Cluster,00:31:16,+63:21:09,9.4,2.10,
NGC 0146,NGC0146,cluster,Open Cluster,00:33:03,+63:18:32,9.1,3.60,
NGC 0147,NGC0147,galaxy,Galaxy,00:33:12,+48:30:31,9.7,9.40,
NGC 0151,NGC0151,galaxy,Galaxy,00:34:02,-09:42:19,11.7,3.74,
NGC 0150,NGC0150,galaxy,Galaxy,00:34:15,-27:48:12,11.4,3.54,
NGC 0185,NGC0185,galaxy,Galaxy,00:38:57,+48:20:14,9.2,12.94,
NGC 0189,NGC0189,cluster,Open Cluster,00:39:35,+61:05:40,8.8,2.70,
M 110,NGC0205,galaxy,Galaxy,00:40:22,+41:41:07,8.2,16.22,
NGC 0210,NGC0210,galaxy,Galaxy,00:40:35,-13:52:22,11.1,4.98,
M 32,NGC0221,galaxy,Galaxy,00:42:41,+40:51:55,8.1,7.74,
M 31,NGC0224,galaxy,Galaxy,00:42:44,+41:16:08,3.4,177.83,Andromeda Galaxy
NGC 0225,NGC0225,cluster,Open Cluster,00:43:36,+61:46:01,7.0,4.20,
NGC 0246,NGC0246,nebula,Planetary Nebula,00:47:03,-11:52:19,10.9,4.08,
NGC 0247,NGC0247,galaxy,Galaxy,00:47:08,-20:45:37,9.2,19.68,
NGC 0188,NGC0188,cluster,Open Cluster,00:47:27,+85:16:10,8.1,17.70,
NGC 0254,NGC0254,galaxy,Galaxy,00:47:27,-31:25:18,11.7,2.77,
NGC 0253,NGC0253,galaxy,Galaxy,00:47:33,-25:17:17,11.1,26.79,"Sculptor Filament,Silver Coin"
NGC 0255,NGC0255,galaxy,Galaxy,00:47:47,-11:28:07,11.9,2.04,
NGC 0266,NGC0266,galaxy,Galaxy,00:49:47,+32:16:39,11.8,2.92,
NGC 0278,NGC0278,galaxy,Galaxy,00:52:04,+47:33:01,10.8,2.36,
NGC 0289,NGC0289,galaxy,Galaxy,00:52:42,-31:12:21,11.2,3.36,
NGC 0288,NGC0288,cluster,Globular Cluster,00:52:47,-26:35:23,8.1,9.60,
NGC 0315,NGC0315,galaxy,Galaxy,00:57:48,+30:21:08,11.6,2.86,
NGC 0337,NGC0337,galaxy,Galaxy,00:59:50,-07:34:40,11.5,2.92,
IC 1613,IC1613,galaxy,Galaxy,01:04:47,+02:07:04,9.5,18.32,
NGC 0381,NGC0381,cluster,Open Cluster,01:08:18,+61:34:59,9.3,6.00,
NGC 0404,NGC0404,galaxy,Galaxy,01:09:27,+35:43:05,10.6,3.40,
NGC 0410,NGC0410,galaxy,Galaxy,01:10:58,+33:09:06,11.5,2.37,
NGC 0428,NGC0428,galaxy,Galaxy,01:12:55,+00:58:53,11.5,2.82,
NGC 0436,NGC0436,cluster,Open Cluster,01:15:57,+58:49:01,8.8,5.70,
NGC 0457,NGC0457,cluster,Open Cluster,01:19:32,+58:17:26,6.4,7.80,Owl Cluster
NGC 0470,NGC0470,galaxy,Galaxy,01:19:44,+03:24:35,11.8,2.86,
NGC 0474,NGC0474,galaxy,Galaxy,01:20:06,+03:24:55,11.5,2.65,
NGC 0488,NGC0488,galaxy,Galaxy,01:21:46,+05:15:24,10.3,5.05,
NGC 0507,NGC0507,galaxy,Galaxy,01:23:39,+33:15:21,11.6,2.45,
NGC 0514,NGC0514,galaxy,Galaxy,01:24:03,+12:55:02,11.7,3.50,
NGC 0521,NGC0521,galaxy,Galaxy,01:24:33,+01:43:53,11.8,2.77,
NGC 0520 NED01,NGC0520 NED01,galaxy,Galaxy,01:24:34,+03:47:41,11.5,4.09,
NGC 0524,NGC0524,galaxy,Galaxy,01:24:47,+09:32:19,10.3,3.37,
NGC 0533,NGC0533,galaxy,Galaxy,01:25:31,+01:45:32,11.5,3.44,
NGC 0559,NGC0559,cluster,Open Cluster,01:29:33,+63:18:05,9.5,9.00,
IC 0127,IC0127,galaxy,Galaxy,01:29:47,-06:58:48,9.2,1.69,
NGC 0578,NGC0578,galaxy,Galaxy,01:30:29,-22:40:02,11.1,4.82,
NGC 0584,NGC0584,galaxy,Galaxy,01:31:20,-06:52:05,10.3,3.78,
NGC 0596,NGC0596,galaxy,Galaxy,01:32:52,-07:01:54,10.9,2.14,
M 103,NGC0581,cluster,Open Cluster,01:33:21,+60:39:28,7.4,4.50,
M 33,NGC0598,galaxy,Galaxy,01:33:50,+30:39:36,5.8,62.09,"Triangulum Galaxy,Triangulum Pinwheel"
IC 0143,IC0143,nebula,HII Region,01:34:10,+30:46:35,11.4,0.30,
NGC 0613,NGC0613,galaxy,Galaxy,01:34:18,-29:25:06,10.3,5.48,
NGC 0615,NGC0615,galaxy,Galaxy,01:35:05,-07:20:25,11.7,3.18,
NGC 0609,NGC0609,cluster,Open Cluster,01:36:23,+64:32:11,11.0,4.80,
M 74,NGC0628,galaxy,Galaxy,01:36:41,+15:47:01,9.3,9.89,
NGC 0636,NGC0636,galaxy,Galaxy,01:39:06,-07:30:45,11.4,2.70,
M 76,NGC0650,nebula,Planetary Nebula,01:42:19,+51:34:31,10.1,1.12,"Barbell Nebula,Cork Nebula,Little Dumbbell Nebula"
NGC 0660,NGC0660,galaxy,Galaxy,01:43:02,+13:38:42,11.3,4.57,
NGC 0637,NGC0637,cluster,Open Cluster,01:43:03,+64:02:11,8.2,4.50,
NGC 0654,NGC0654,cluster,Open Cluster,01:43:59,+61:52:57,6.5,6.30,
NGC 0659,NGC0659,cluster,Open Cluster,01:44:22,+60:40:09,7.9,4.20,
NGC 0663,NGC0663,cluster,Open Cluster,01:46:16,+61:13:05,7.1,6.00,
IC 1727,IC1727,galaxy,Galaxy,01:47:29,+27:20:00,11.6,6.52,
NGC 0672,NGC0672,galaxy,Galaxy,01:47:54,+27:25:58,10.9,7.01,
NGC 0676,NGC0676,galaxy,Galaxy,01:48:57,+05:54:27,12.0,2.75,
NGC 0681,NGC0681,galaxy,Galaxy,01:49:10,-10:25:35,11.9,2.47,
NGC 0680,NGC0680,galaxy,Galaxy,01:49:47,+21:58:15,11.9,1.69,
NGC 0691,NGC0691,galaxy,Galaxy,01:50:41,+21:45:35,11.7,2.68,
NGC 0674,NGC0674,galaxy,Galaxy,01:51:17,+22:21:28,12.0,3.81,
IC 0166,IC0166,cluster,Open Cluster,01:52:23,+61:51:09,11.7,7.50,
NGC 0720,NGC0720,galaxy,Galaxy,01:53:00,-13:44:19,10.1,4.49,
NGC 0718,NGC0718,galaxy,Galaxy,01:53:13,+04:11:45,11.7,2.75,
NGC 0741,NGC0741,galaxy,Galaxy,01:56:21,+05:37:44,11.3,2.83,
NGC 0752,NGC0752,cluster,Open Cluster,01:57:34,+37:50:00,5.7,39.00,
IC 1747,IC1747,nebula,Planetary Nebula,01:57:35,+63:19:18,12.0,0.22,
NGC 0744,NGC0744,cluster,Open Cluster,01:58:29,+55:28:28,7.9,11.70,
NGC 0772,NGC0772,galaxy,Galaxy,01:59:19,+19:00:27,10.3,4.57,
NGC 0779,NGC0779,galaxy,Galaxy,01:59:42,-05:57:47,11.2,1.35,
NGC 0777,NGC0777,galaxy,Galaxy,02:00:14,+31:25:46,11.5,2.75,
NGC 0784,NGC0784,galaxy,Galaxy,02:01:16,+28:50:14,11.7,4.17,
NGC 0821,NGC0821,galaxy,Galaxy,02:08:21,+10:59:41,10.8,2.45,
NGC 0864,NGC0864,galaxy,Galaxy,02:15:27,+06:00:09,11.1,3.72,
NGC 0877,NGC0877,galaxy,Galaxy,02:17:59,+14:32:38,11.9,1.92,
NGC 0869,NGC0869,cluster,Open Cluster,02:18:58,+57:07:02,3.7,14.40,h Persei Cluster
NGC 0897,NGC0897,galaxy,Galaxy,02:21:06,-33:43:14,11.8,2.01,
NGC 0895,NGC0895,galaxy,Galaxy,02:21:36,-05:31:17,11.8,3.32,
NGC 0890,NGC0890,galaxy,Galaxy,02:22:01,+33:15:57,11.9,1.10,
NGC 0884,NGC0884,cluster,Open Cluster,02:22:32,+57:08:38,3.8,10.50,chi Persei Cluster
NGC 0891,NGC0891,galaxy,Galaxy,02:22:33,+42:20:56,10.0,13.03,
NGC 0908,NGC0908,galaxy,Galaxy,02:23:04,-21:14:01,10.3,6.14,
NGC 0922,NGC0922,galaxy,Galaxy,02:25:04,-24:47:17,12.0,2.10,
NGC 0925,NGC0925,galaxy,Galaxy,02:27:16,+33:34:45,10.1,10.72,
NGC 0936,NGC0936,galaxy,Galaxy,02:27:37,-01:09:22,10.2,4.44,
NGC 0955,NGC0955,galaxy,Galaxy,02:30:33,-01:06:30,12.0,2.72,
NGC 0949,NGC0949,galaxy,Galaxy,02:30:48,+37:08:12,11.9,3.10,
NGC 0956,NGC0956,cluster,Open Cluster,02:32:30,+44:35:36,8.9,4.50,
IC 1805,IC1805,nebula,Cluster + Nebula,02:32:41,+61:27:24,6.5,60.00,
NGC 0957,NGC0957,cluster,Open Cluster,02:33:19,+57:34:10,7.6,10.20,
NGC 0972,NGC0972,galaxy,Galaxy,02:34:13,+29:18:40,11.3,3.31,
NGC 0988,NGC0988,galaxy,Galaxy,02:35:27,-09:21:22,11.2,4.33,
IC 0239,IC0239,galaxy,Galaxy,02:36:27,+38:58:11,11.2,4.25,
NGC 1016,NGC1016,galaxy,Galaxy,02:38:19,+02:07:09,11.6,2.26,
NGC 1022,NGC1022,galaxy,Galaxy,02:38:32,-06:40:38,11.3,2.60,
NGC 1003,NGC1003,galaxy,Galaxy,02:39:16,+40:52:20,11.5,3.47,
NGC 1032,NGC1032,galaxy,Galaxy,02:39:23,+01:05:37,11.7,3.58,
NGC 1042,NGC1042,galaxy,Galaxy,02:40:23,-08:26:00,11.2,3.87,
NGC 1023,NGC1023,galaxy,Galaxy,02:40:24,+39:03:47,9.5,7.40,
NGC 1052,NGC1052,galaxy,Galaxy,02:41:04,-08:15:20,11.0,2.94,
NGC 1055,NGC1055,galaxy,Galaxy,02:41:45,+00:26:35,10.6,6.92,
M 34,NGC1039,cluster,Open Cluster,02:42:07,+42:44:46,5.2,22.50,
NGC 1027,NGC1027,cluster,Open Cluster,02:42:35,+61:35:39,6.7,7.80,
M 77,NGC1068,galaxy,Galaxy,02:42:40,-00:00:47,9.3,6.11,
NGC 1060,NGC1060,galaxy,Galaxy,02:43:15,+32:25:29,11.8,2.36,
NGC 1058,NGC1058,galaxy,Galaxy,02:43:30,+37:20:28,11.2,2.47,
NGC 1073,NGC1073,galaxy,Galaxy,02:43:40,+01:22:34,11.1,3.54,
NGC 1079,NGC1079,galaxy,Galaxy,02:43:44,-29:00:12,11.4,2.65,
NGC 1084,NGC1084,galaxy,Galaxy,02:45:59,-07:34:42,10.6,3.40,
NGC 1097,NGC1097,galaxy,Galaxy,02:46:19,-30:16:29,9.8,10.57,
NGC 1087,NGC1087,galaxy,Galaxy,02:46:25,-00:29:55,11.0,2.97,
NGC 1090,NGC1090,galaxy,Galaxy,02:46:33,-00:14:49,12.0,3.31,
IC 1848,IC1848,nebula,Cluster + Nebula,02:51:10,+60:24:08,6.5,40.00,
NGC 1156,NGC1156,galaxy,Galaxy,02:59:42,+25:14:16,11.6,2.96,
NGC 1161,NGC1161,galaxy,Galaxy,03:01:14,+44:53:50,11.9,2.69,
NGC 1172,NGC1172,galaxy,Galaxy,03:01:36,-14:50:11,11.8,2.28,
NGC 1187,NGC1187,galaxy,Galaxy,03:02:37,-22:52:01,10.9,4.14,
NGC 1179,NGC1179,galaxy,Galaxy,03:02:38,-18:53:52,12.0,3.67,
NGC 1169,NGC1169,galaxy,Galaxy,03:03:34,+46:23:10,11.4,3.31,
NGC 1199,NGC1199,galaxy,Galaxy,03:03:38,-15:36:47,11.4,2.83,
NGC 1201,NGC1201,galaxy,Galaxy,03:04:07,-26:04:10,10.8,3.41,
NGC 1209,NGC1209,galaxy,Galaxy,03:06:03,-15:36:40,11.4,2.25,
IC 0284,IC0284,galaxy,Galaxy,03:06:09,+42:22:18,11.6,4.29,
NGC 1232,NGC1232,galaxy,Galaxy,03:09:45,-20:34:45,10.1,6.79,
NGC 1220,NGC1220,cluster,Open Cluster,03:11:40,+53:20:53,11.8,2.40,
NGC 1255,NGC1255,galaxy,Galaxy,03:13:32,-25:43:30,11.2,4.05,
NGC 1253,NGC1253,galaxy,Galaxy,03:14:09,-02:49:22,11.8,4.57,
NGC 1245,NGC1245,cluster,Open Cluster,03:14:41,+47:14:19,8.4,11.40,
NGC 1265,NGC1265,galaxy,Galaxy,03:18:15,+41:51:27,11.9,1.90,
NGC 1272,NGC1272,galaxy,Galaxy,03:19:21,+41:29:26,11.9,2.55,
NGC 1300,NGC1300,galaxy,Galaxy,03:19:41,-19:24:40,10.5,5.96,
NGC 1302,NGC1302,galaxy,Galaxy,03:19:51,-26:03:37,10.6,4.27,
NGC 1305,NGC1305,galaxy,Galaxy,03:21:22,-02:19:00,12.0,1.33,
NGC 1309,NGC1309,galaxy,Galaxy,03:22:06,-15:24:00,11.6,2.39,
NGC 1325,NGC1325,galaxy,Galaxy,03:24:25,-21:32:38,11.5,4.32,
NGC 1332,NGC1332,galaxy,Galaxy,03:26:17,-21:20:06,10.4,5.31,
NGC 1339,NGC1339,galaxy,Galaxy,03:28:06,-32:17:10,11.8,2.01,
NGC 1340,NGC1340,galaxy,Galaxy,03:28:19,-31:04:05,10.4,5.12,
NGC 1333,NGC1333,nebula,Cluster + Nebula,03:28:55,+31:22:12,10.9,19.50,
NGC 1351,NGC1351,galaxy,Galaxy,03:30:34,-34:51:14,11.5,3.40,
NGC 1350,NGC1350,galaxy,Galaxy,03:31:08,-33:37:43,10.3,5.18,
NGC 1342,NGC1342,cluster,Open Cluster,03:31:40,+37:22:45,6.7,6.30,
NGC 1353,NGC1353,galaxy,Galaxy,03:32:03,-20:49:09,11.5,3.64,
NGC 1360,NGC1360,nebula,Planetary Nebula,03:33:14,-25:52:18,9.4,6.42,
NGC 1357,NGC1357,galaxy,Galaxy,03:33:17,-13:39:50,11.4,3.37,
IC 1953,IC1953,galaxy,Galaxy,03:33:41,-21:28:43,12.0,2.26,
NGC 1366,NGC1366,galaxy,Galaxy,03:33:53,-31:11:38,11.9,2.05,
NGC 1367,NGC1367,galaxy,Galaxy,03:35:01,-24:55:59,10.7,4.88,
NGC 1380,NGC1380,galaxy,Galaxy,03:36:27,-34:58:34,9.9,4.58,
NGC 1385,NGC1385,galaxy,Galaxy,03:37:28,-24:30:01,11.0,3.40,
NGC 1395,NGC1395,galaxy,Galaxy,03:38:29,-23:01:39,9.7,4.71,
NGC 1398,NGC1398,galaxy,Galaxy,03:38:52,-26:20:16,9.6,6.95,
NGC 1406,NGC1406,galaxy,Galaxy,03:39:23,-31:19:17,11.8,4.50,
NGC 1400,NGC1400,galaxy,Galaxy,03:39:30,-18:41:17,11.1,2.81,
NGC 1407,NGC1407,galaxy,Galaxy,03:40:11,-18:34:48,9.7,5.73,
NGC 1415,NGC1415,galaxy,Galaxy,03:40:56,-22:33:52,11.5,3.74,
NGC 1425,NGC1425,galaxy,Galaxy,03:42:11,-29:53:36,10.7,4.91,
NGC 1421,NGC1421,galaxy,Galaxy,03:42:29,-13:29:16,11.5,3.55,
NGC 1426,NGC1426,galaxy,Galaxy,03:42:49,-22:06:30,11.5,2.86,
NGC 1439,NGC1439,galaxy,Galaxy,03:44:49,-21:55:14,11.4,2.96,
NGC 1440,NGC1440,galaxy,Galaxy,03:45:02,-18:15:57,11.6,2.62,
IC 0334,IC0334,galaxy,Galaxy,03:45:17,+76:38:17,11.5,2.34,
NGC 1452,NGC1452,galaxy,Galaxy,03:45:22,-18:38:01,11.8,2.39,
NGC 1453,NGC1453,galaxy,Galaxy,03:46:27,-03:58:07,11.4,2.46,
IC 0342,IC0342,galaxy,Galaxy,03:46:48,+68:05:46,9.7,19.77,
IC 1993,IC1993,galaxy,Galaxy,03:47:04,-33:42:35,11.9,2.81,
IC 0351,IC0351,nebula,Planetary Nebula,03:47:33,+35:02:48,11.9,0.12,
NGC 1461,NGC1461,galaxy,Galaxy,03:48:27,-16:23:34,11.8,2.90,
NGC 1444,NGC1444,cluster,Open Cluster,03:49:28,+52:39:19,6.6,3.60,
IC 2003,IC2003,nebula,Planetary Nebula,03:56:22,+33:52:29,11.4,0.14,
NGC 1499,NGC1499,nebula,Nebula,04:03:14,+36:22:02,5.0,160.00,California Nebula
NGC 1496,NGC1496,cluster,Open Cluster,04:04:31,+52:39:41,9.6,2.10,
NGC 1518,NGC1518,galaxy,Galaxy,04:06:49,-21:10:21,11.8,3.47,
NGC 1501,NGC1501,nebula,Planetary Nebula,04:06:59,+60:55:14,11.5,0.87,
IC 0356,IC0356,galaxy,Galaxy,04:07:46,+69:48:44,10.2,4.02,
NGC 1502,NGC1502,cluster,Open Cluster,04:07:49,+62:19:53,6.9,10.20,
NGC 1521,NGC1521,galaxy,Galaxy,04:08:18,-21:03:07,11.6,3.25,
NGC 1514,NGC1514,nebula,Planetary Nebula,04:09:16,+30:46:33,10.2,2.20,
NGC 1513,NGC1513,cluster,Open Cluster,04:09:54,+49:31:02,8.4,5.10,
NGC 1532,NGC1532,galaxy,Galaxy,04:12:04,-32:52:27,10.1,11.27,
NGC 1537,NGC1537,galaxy,Galaxy,04:13:40,-31:38:43,10.7,4.35,
NGC 1535,NGC1535,nebula,Planetary Nebula,04:14:15,-12:44:21,9.6,0.85,
NGC 1528,NGC1528,cluster,Open Cluster,04:15:18,+51:12:41,6.4,9.60,
IC 0361,IC0361,cluster,Open Cluster,04:18:50,+58:14:58,11.7,7.20,
NGC 1545,NGC1545,cluster,Open Cluster,04:20:56,+50:15:19,6.2,4.20,
NGC 1555,NGC1555,nebula,Reflection Nebula,04:21:59,+19:32:06,10.0,1.82,"Hind's Nebula,Hind's Variable Nebula"
NGC 1530,NGC1530,galaxy,Galaxy,04:23:27,+75:17:44,11.7,1.82,
NGC 1587,NGC1587,galaxy,Galaxy,04:30:39,+00:39:41,11.7,2.08,
NGC 1589,NGC1589,galaxy,Galaxy,04:30:45,+00:51:49,11.8,3.06,
NGC 1569,NGC1569,galaxy,Galaxy,04:30:49,+64:50:52,11.1,3.91,
IC 2067,IC2067,nebula,Nebula,04:30:51,+35:26:46,11.5,,
NGC 1600,NGC1600,galaxy,Galaxy,04:31:39,-05:05:10,11.0,3.33,
NGC 1582,NGC1582,cluster,Open Cluster,04:31:46,+43:47:05,7.0,7.80,
NGC 1560,NGC1560,galaxy,Galaxy,04:32:49,+71:52:59,11.5,8.30,
NGC 1605,NGC1605,cluster,Open Cluster,04:34:52,+45:16:17,10.7,3.30,
NGC 1573,NGC1573,galaxy,Galaxy,04:35:03,+73:15:44,11.8,1.95,
NGC 1624,NGC1624,nebula,Cluster + Nebula,04:40:36,+50:27:42,11.8,3.00,
NGC 1637,NGC1637,galaxy,Galaxy,04:41:28,-02:51:28,10.8,3.18,
NGC 1640,NGC1640,galaxy,Galaxy,04:42:14,-20:26:05,11.7,2.72,
NGC 1653,NGC1653,galaxy,Galaxy,04:45:47,-02:23:34,12.0,1.79,
NGC 1647,NGC1647,cluster,Open Cluster,04:45:55,+19:05:42,6.4,27.00,
NGC 1662,NGC1662,cluster,Open Cluster,04:48:28,+10:55:49,6.4,13.80,
NGC 1679,NGC1679,galaxy,Galaxy,04:49:54,-31:57:52,11.6,3.07,
NGC 1664,NGC1664,cluster,Open Cluster,04:51:05,+43:40:34,7.6,11.40,
NGC 1700,NGC1700,galaxy,Galaxy,04:56:56,-04:51:56,11.2,3.11,
NGC 1726,NGC1726,galaxy,Galaxy,04:59:41,-07:45:18,11.7,2.90,
NGC 1744,NGC1744,galaxy,Galaxy,04:59:57,-26:01:20,11.5,5.28,
NGC 1746,NGC1746,cluster,Open Cluster,05:03:50,+23:46:03,6.1,18.00,
NGC 1784,NGC1784,galaxy,Galaxy,05:05:27,-11:52:17,11.6,4.00,
NGC 1788,NGC1788,nebula,Reflection Nebula,05:06:53,-03:20:27,5.8,2.00,
NGC 1778,NGC1778,cluster,Open Cluster,05:08:05,+37:01:22,7.7,4.50,
NGC 1807,NGC1807,cluster,Open Cluster,05:10:45,+16:30:45,7.0,5.40,
NGC 1832,NGC1832,galaxy,Galaxy,05:12:03,-15:41:16,11.5,2.46,
NGC 1817,NGC1817,cluster,Open Cluster,05:12:26,+16:41:02,7.7,9.30,
IC 0405,IC0405,nebula,Nebula,05:16:29,+34:21:22,10.0,50.00,Flaming Star Nebula
NGC 1857,NGC1857,cluster,Open Cluster,05:20:05,+39:20:37,7.0,4.50,
NGC 1888,NGC1888,galaxy,Galaxy,05:22:34,-11:29:58,11.9,3.32,
NGC 1893,NGC1893,cluster,Open Cluster,05:22:44,+33:24:43,7.5,6.00,
M 79,NGC1904,cluster,Globular Cluster,05:24:10,-24:31:27,8.2,7.20,
NGC 1883,NGC1883,cluster,Open Cluster,05:25:54,+46:29:24,12.0,5.70,
IC 0418,IC0418,nebula,Planetary Nebula,05:27:28,-12:41:50,9.4,0.20,
NGC 1907,NGC1907,cluster,Open Cluster,05:28:04,+35:19:32,8.2,5.40,
M 38,NGC1912,cluster,Open Cluster,05:28:42,+35:51:17,6.4,9.60,
NGC 1931,NGC1931,nebula,Cluster + Nebula,05:31:25,+34:14:47,10.1,4.80,
NGC 1964,NGC1964,galaxy,Galaxy,05:33:21,-21:56:44,10.9,5.16,
M 1,NGC1952,nebula,Supernova Remnant,05:34:31,+22:00:52,8.4,8.00,Crab Nebula
NGC 1973,NGC1973,nebula,Nebula,05:35:04,-04:43:54,7.0,5.00,
NGC 1981,NGC1981,nebula,Cluster + Nebula,05:35:09,-04:25:30,4.2,9.00,Upper Sword
M 42,NGC1976,nebula,Cluster + Nebula,05:35:16,-05:23:22,4.0,90.00,"Great Orion Nebula,Orion Nebula"
NGC 1975,NGC1975,nebula,Nebula,05:35:17,-04:41:06,7.0,10.00,
NGC 1980,NGC1980,nebula,Cluster + Nebula,05:35:25,-05:54:35,2.5,9.30,Lower Sword
M 43,NGC1982,nebula,HII Region,05:35:31,-05:16:02,9.0,20.00,Mairan's Nebula
M 36,NGC1960,cluster,Open Cluster,05:36:17,+34:08:26,6.0,7.20,
NGC 1999,NGC1999,nebula,Reflection Nebula,05:36:25,-06:42:57,9.5,2.00,
IC 0434,IC0434,nebula,HII Region,05:41:00,-02:27:13,11.0,90.00,"Flame Nebula,Orion B"
NGC 1961,NGC1961,galaxy,Galaxy,05:42:04,+69:22:42,11.5,4.42,
NGC 2022,NGC2022,nebula,Planetary Nebula,05:42:06,+09:05:11,11.6,0.32,
M 78,NGC2068,nebula,Reflection Nebula,05:46:45,+00:04:45,8.0,4.50,
NGC 2090,NGC2090,galaxy,Galaxy,05:47:01,-34:15:02,10.9,4.47,
NGC 2071,NGC2071,nebula,Cluster + Nebula,05:47:07,+00:17:39,8.0,7.00,
M 37,NGC2099,cluster,Open Cluster,05:52:18,+32:33:10,5.6,11.40,
NGC 2112,NGC2112,cluster,Open Cluster,05:53:45,+00:24:38,9.1,21.00,
IC 2149,IC2149,nebula,Planetary Nebula,05:56:23,+46:06:17,10.8,0.14,
NGC 2129,NGC2129,cluster,Open Cluster,06:01:06,+23:19:19,6.7,3.90,
NGC 2139,NGC2139,galaxy,Galaxy,06:01:07,-23:40:21,11.7,2.94,
NGC 2141,NGC2141,cluster,Open Cluster,06:02:55,+10:26:47,9.4,5.40,
IC 2157,IC2157,cluster,Open Cluster,06:04:47,+24:04:15,8.4,2.70,
NGC 2158,NGC2158,cluster,Open Cluster,06:07:25,+24:05:46,8.6,8.40,
NGC 2169,NGC2169,cluster,Open Cluster,06:08:24,+13:57:53,5.9,7.20,
M 35,NGC2168,cluster,Open Cluster,06:09:05,+24:20:19,5.1,24.00,
NGC 2182,NGC2182,nebula,Reflection Nebula,06:09:30,-06:19:35,9.0,3.00,
NGC 2180,NGC2180,cluster,Open Cluster,06:09:36,+04:42:41,9.0,4.20,
NGC 2175,NGC2175,nebula,Cluster + Nebula,06:09:39,+20:29:15,6.8,5.40,
NGC 2188,NGC2188,galaxy,Galaxy,06:10:09,-34:06:22,11.7,5.42,
NGC 2186,NGC2186,cluster,Open Cluster,06:12:07,+05:27:30,8.7,4.20,
NGC 2196,NGC2196,galaxy,Galaxy,06:12:09,-21:48:21,11.2,2.77,
NGC 2194,NGC2194,cluster,Open Cluster,06:13:45,+12:48:24,8.5,8.70,
NGC 2192,NGC2192,cluster,Open Cluster,06:15:17,+39:51:18,10.9,5.40,
NGC 2204,NGC2204,cluster,Open Cluster,06:15:32,-18:39:57,8.6,6.30,
NGC 2207,NGC2207,galaxy,Galaxy,06:16:22,-21:22:21,11.1,4.86,
IC 2163,IC2163,galaxy,Galaxy,06:16:27,-21:22:33,11.1,3.37,
IC 0443,IC0443,nebula,Supernova Remnant,06:16:37,+22:31:54,12.0,50.00,Gem A
IC 0444,IC0444,nebula,Reflection Nebula,06:18:34,+23:18:48,7.0,8.00,
NGC 2146,NGC2146,galaxy,Galaxy,06:18:37,+78:21:25,10.7,5.31,
NGC 2215,NGC2215,cluster,Open Cluster,06:20:49,-07:17:01,8.4,8.40,
NGC 2217,NGC2217,galaxy,Galaxy,06:21:39,-27:14:01,10.6,4.63,
IC 2165,IC2165,nebula,Planetary Nebula,06:21:42,-12:59:14,10.5,0.15,
NGC 2223,NGC2223,galaxy,Galaxy,06:24:35,-22:50:17,11.9,2.82,
NGC 2232,NGC2232,cluster,Open Cluster,06:28:01,-04:50:50,3.9,9.90,
NGC 2243,NGC2243,cluster,Open Cluster,06:29:34,-31:16:52,9.4,5.10,
NGC 2236,NGC2236,cluster,Open Cluster,06:29:39,+06:49:50,8.5,5.40,
NGC 2238,NGC2238,nebula,HII Region,06:30:40,+05:00:47,6.0,80.00,Rosette Nebula
IC 0447,IC0447,nebula,HII Region,06:31:00,+09:53:50,7.7,25.00,
NGC 2239,NGC2239,nebula,Cluster + Nebula,06:31:55,+04:56:34,4.8,9.30,
NGC 2245,NGC2245,nebula,Reflection Nebula,06:32:41,+10:09:23,11.0,2.00,
NGC 2247,NGC2247,nebula,Reflection Nebula,06:33:05,+10:19:20,8.5,2.00,
NGC 2250,NGC2250,cluster,Open Cluster,06:33:49,-05:05:04,8.9,5.10,
NGC 2251,NGC2251,cluster,Open Cluster,06:34:38,+08:21:59,7.3,5.70,
NGC 2252,NGC2252,cluster,Open Cluster,06:34:42,+05:21:58,7.7,6.60,
NGC 2254,NGC2254,cluster,Open Cluster,06:35:49,+07:40:23,9.1,4.20,
NGC 2259,NGC2259,cluster,Open Cluster,06:38:21,+10:53:01,10.8,6.00,
NGC 2261,NGC2261,nebula,Reflection Nebula,06:39:09,+08:44:39,11.8,2.00,Hubble's Nebula
